experiment,source_item,expected_match,has_match,model,sample_size,S11_predicted,S11_correct,S11_error_type,S11_response_time,S05_predicted,S05_correct,S05_error_type,S05_response_time,S18_predicted,S18_correct,S18_error_type,S18_response_time,S15_predicted,S15_correct,S15_error_type,S15_response_time,S20_predicted,S20_correct,S20_error_type,S20_response_time,S12_predicted,S12_correct,S12_error_type,S12_response_time,S14_predicted,S14_correct,S14_error_type,S14_response_time,S19_predicted,S19_correct,S19_error_type,S19_response_time,S16_predicted,S16_correct,S16_error_type,S16_response_time,S13_predicted,S13_correct,S13_error_type,S13_response_time,S17_predicted,S17_correct,S17_error_type,S17_response_time,S09_predicted,S09_correct,S09_error_type,S09_response_time,S10_predicted,S10_correct,S10_error_type,S10_response_time,S01_predicted,S01_correct,S01_error_type,S01_response_time,S07_predicted,S07_correct,S07_error_type,S07_response_time,S04_predicted,S04_correct,S04_error_type,S04_response_time,S08_predicted,S08_correct,S08_error_type,S08_response_time,S06_predicted,S06_correct,S06_error_type,S06_response_time,S03_predicted,S03_correct,S03_error_type,S03_response_time,S02_predicted,S02_correct,S02_error_type,S02_response_time
NHANES_Gemma3_27b,"fish, scup, raw",none,False,gemma3-27b,1317,none,True,,1.478,none,True,,3.905,none,True,,12.610,none,True,,9.068,plant based fish fillet,False,false_positive,5.666,plant based fish fillet,False,false_positive,6.226,plant based fish fillet,False,false_positive,1.715,plant based fish fillet,False,false_positive,4.659,none,True,,6.262,plant based fish fillet,False,false_positive,7.694,plant based fish fillet,False,false_positive,6.930,shrimp,False,false_positive,1.242,albacore white tuna,False,false_positive,17.457,albacore white tuna,False,false_positive,8.076,albacore white tuna,False,false_positive,8.469,albacore white tuna,False,false_positive,5.336,albacore white tuna,False,false_positive,7.177,albacore white tuna,False,false_positive,0.672,albacore white tuna,False,false_positive,5.027,albacore white tuna,False,false_positive,4.483
NHANES_Gemma3_27b,"cheese sauce, prepared from recipe",none,False,gemma3-27b,1317,none,True,,2.138,none,True,,8.971,none,True,,5.562,none,True,,3.443,none,True,,3.251,none,True,,5.121,none,True,,3.998,none,True,,8.022,none,True,,4.385,none,True,,6.869,commercial mac and cheese,False,false_positive,7.815,none,True,,9.570,cream cheese,False,false_positive,3.960,commercial mac and cheese,False,false_positive,5.145,commercial mac and cheese,False,false_positive,5.357,sharp chedder cheese,False,false_positive,5.129,coconut milk,False,false_positive,9.183,cream cheese,False,false_positive,14.090,cream cheese,False,false_positive,13.790,sour cream,False,false_positive,0.893
NHANES_Gemma3_27b,"milk, whole, 3.25% milkfat, with added vitamin d",whole milk,True,gemma3-27b,1317,whole milk,True,,7.288,whole milk,True,,7.014,whole milk,True,,1.237,whole milk,True,,2.650,whole milk,True,,6.739,whole milk,True,,5.633,whole milk,True,,4.963,whole milk,True,,2.966,whole milk,True,,7.134,whole milk,True,,7.744,whole milk,True,,3.724,whole milk,True,,7.583,whole milk,True,,10.896,whole milk,True,,8.856,whole milk,True,,8.979,whole milk,True,,4.367,whole milk,True,,5.171,whole milk,True,,9.634,whole milk,True,,8.213,whole milk,True,,0.634
NHANES_Gemma3_27b,"vanilla extract, imitation, no alcohol",none,False,gemma3-27b,1317,none,True,,6.136,none,True,,9.425,none,True,,9.162,none,True,,2.081,none,True,,5.873,none,True,,1.985,none,True,,6.038,none,True,,17.871,none,True,,5.093,none,True,,7.702,none,True,,0.807,vanilla bean ice cream,False,false_positive,13.329,vanilla bean ice cream,False,false_positive,10.440,vanilla bean ice cream,False,false_positive,7.518,vanilla cookies,False,false_positive,10.457,vanilla bean ice cream,False,false_positive,10.007,vanilla bean ice cream,False,false_positive,4.378,vanilla cookies,False,false_positive,9.266,vanilla cookies,False,false_positive,8.106,vanilla bean ice cream,False,false_positive,10.761
NHANES_Gemma3_27b,"cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt",black-eyed peas,True,gemma3-27b,1317,black-eyed peas,True,,2.634,black-eyed peas,True,,5.852,black-eyed peas,True,,5.478,black-eyed peas,True,,10.207,black-eyed peas,True,,6.318,black-eyed peas,True,,5.845,none,False,missed_match,3.276,black-eyed peas,True,,3.853,none,False,missed_match,6.849,black-eyed peas,True,,4.531,black-eyed peas,True,,8.309,black-eyed peas,True,,6.040,black-eyed peas,True,,11.731,black-eyed peas,True,,7.097,black-eyed peas,True,,7.537,black-eyed peas,True,,3.499,black-eyed peas,True,,5.138,black-eyed peas,True,,4.955,black-eyed peas,True,,4.830,black-eyed peas,True,,1.535
NHANES_Gemma3_27b,"cabbage, chinese (pak-choi), raw",steamed baby bok choy leaves and stalk,True,gemma3-27b,1317,none,False,missed_match,10.420,steamed baby bok choy leaves and stalk,True,,7.058,purple cabbage,False,wrong_match,1.228,purple cabbage,False,wrong_match,3.854,purple cabbage,False,wrong_match,6.865,purple cabbage,False,wrong_match,3.228,none,False,missed_match,4.482,none,False,missed_match,5.109,none,False,missed_match,3.822,purple cabbage,False,wrong_match,6.877,steamed baby bok choy leaves and stalk,True,,12.581,frozen edamame,False,wrong_match,7.070,purple cabbage,False,wrong_match,6.796,frozen edamame,False,wrong_match,6.778,frozen edamame,False,wrong_match,8.768,purple cabbage,False,wrong_match,7.995,frozen edamame,False,wrong_match,11.726,purple cabbage,False,wrong_match,6.890,purple cabbage,False,wrong_match,6.266,frozen edamame,False,wrong_match,11.934
NHANES_Gemma3_27b,"turkey, whole, wing, meat only, cooked, roasted",ground turkey,True,gemma3-27b,1317,ground turkey,True,,3.088,none,False,missed_match,16.188,ground turkey,True,,3.676,ground turkey,True,,8.566,none,False,missed_match,3.078,ground turkey,True,,4.004,none,False,missed_match,5.443,ground turkey,True,,7.171,none,False,missed_match,4.091,none,False,missed_match,1.373,ground turkey,True,,0.991,ground turkey,True,,7.149,ground turkey,True,,6.739,ground pork,False,wrong_match,6.229,ground turkey,True,,5.157,honeydew melon,False,wrong_match,1.590,low sodium chicken broth,False,wrong_match,4.440,ground pork,False,wrong_match,5.422,ground turkey,True,,13.777,ground pork,False,wrong_match,9.158
NHANES_Gemma3_27b,"grapefruit juice, white, frozen concentrate, unsweetened, undiluted",none,False,gemma3-27b,1317,none,True,,2.234,none,True,,4.686,none,True,,3.628,none,True,,2.617,none,True,,1.119,none,True,,4.077,none,True,,3.001,none,True,,13.341,none,True,,5.837,none,True,,2.162,none,True,,0.783,deep red grapefruit,False,false_positive,7.711,deep red grapefruit,False,false_positive,14.872,deep red grapefruit,False,false_positive,8.015,pulp free orange juice,False,false_positive,5.942,deep red grapefruit,False,false_positive,16.230,pulp free orange juice,False,false_positive,10.146,pulp free orange juice,False,false_positive,7.780,pulp free orange juice,False,false_positive,11.382,pulp free orange juice,False,false_positive,3.823
NHANES_Gemma3_27b,"peas, edible-podded, frozen, cooked, boiled, drained, without salt",steamed whole snow peas,True,gemma3-27b,1317,none,False,missed_match,9.646,frozen whole sweet green peas (flav r pac),False,wrong_match,3.695,steamed whole snow peas,True,,13.549,frozen whole sweet green peas (flav r pac),False,wrong_match,9.025,frozen whole sweet green peas (flav r pac),False,wrong_match,1.960,frozen whole sweet green peas (flav r pac),False,wrong_match,8.446,none,False,missed_match,14.711,frozen whole sweet green peas (flav r pac),False,wrong_match,12.994,none,False,missed_match,7.298,frozen whole sweet green peas (flav r pac),False,wrong_match,12.897,frozen whole sweet green peas (flav r pac),False,wrong_match,14.428,steamed whole snow peas,True,,12.210,frozen whole sweet green peas (flav r pac),False,wrong_match,11.798,green split peas,False,wrong_match,6.404,frozen whole sweet green peas (flav r pac),False,wrong_match,8.693,frozen whole sweet green peas (flav r pac),False,wrong_match,2.904,green split peas,False,wrong_match,9.042,dates,False,wrong_match,5.921,frozen whole sweet green peas (flav r pac),False,wrong_match,2.897,frozen whole sweet green peas (flav r pac),False,wrong_match,11.152
NHANES_Gemma3_27b,"duck, domesticated, meat only, raw",none,False,gemma3-27b,1317,none,True,,0.837,none,True,,5.152,none,True,,10.512,ground turkey,False,false_positive,4.575,none,True,,6.402,none,True,,3.218,none,True,,0.784,none,True,,0.447,none,True,,4.273,none,True,,5.758,none,True,,8.208,ground pork,False,false_positive,13.771,none,True,,6.315,ground pork,False,false_positive,8.001,ground pork,False,false_positive,8.070,ground pork,False,false_positive,0.594,ground pork,False,false_positive,4.387,ground pork,False,false_positive,5.163,ground pork,False,false_positive,3.935,ground pork,False,false_positive,1.041
NHANES_Gemma3_27b,"frankfurter, beef, unheated",beef round tip steak,True,gemma3-27b,1317,plant based hot dog,False,wrong_match,4.344,none,False,missed_match,3.805,plant based hot dog,False,wrong_match,5.932,plant based hot dog,False,wrong_match,1.776,plant based hot dog,False,wrong_match,6.137,plant based hot dog,False,wrong_match,5.991,none,False,missed_match,2.061,beef round tip steak,True,,8.648,none,False,missed_match,3.284,plant based hot dog,False,wrong_match,8.826,plant based hot dog,False,wrong_match,7.374,none,False,missed_match,5.825,plant based hot dog,False,wrong_match,13.210,plant based hot dog,False,wrong_match,6.351,plant based hot dog,False,wrong_match,3.331,ground pork,False,wrong_match,9.385,plant based hot dog,False,wrong_match,4.630,plant based hot dog,False,wrong_match,5.377,plant based hot dog,False,wrong_match,5.224,plant based hot dog,False,wrong_match,8.131
NHANES_Gemma3_27b,"turkey, dark meat, meat only, with added solution, cooked, roasted",ground turkey,True,gemma3-27b,1317,ground turkey,True,,2.776,none,False,missed_match,9.692,ground turkey,True,,6.047,ground turkey,True,,3.654,ground turkey,True,,0.554,ground turkey,True,,4.340,none,False,missed_match,6.075,ground turkey,True,,2.745,none,False,missed_match,3.265,ground turkey,True,,7.814,ground turkey,True,,6.952,ground turkey,True,,6.314,ground turkey,True,,14.419,ground pork,False,wrong_match,3.854,ground turkey,True,,7.942,coconut milk,False,wrong_match,9.461,low sodium chicken broth,False,wrong_match,5.904,ground pork,False,wrong_match,1.998,ground turkey,True,,14.896,low sodium chicken broth,False,wrong_match,2.033
NHANES_Gemma3_27b,"fish, croaker, atlantic, raw",none,False,gemma3-27b,1317,none,True,,11.350,none,True,,6.226,albacore white tuna,False,false_positive,12.534,plant based fish fillet,False,false_positive,2.464,plant based fish fillet,False,false_positive,9.984,plant based fish fillet,False,false_positive,6.090,plant based fish fillet,False,false_positive,5.041,plant based fish fillet,False,false_positive,7.643,none,True,,5.643,plant based fish fillet,False,false_positive,9.884,plant based fish fillet,False,false_positive,13.123,plant based fish fillet,False,false_positive,7.248,albacore white tuna,False,false_positive,0.589,albacore white tuna,False,false_positive,3.508,albacore white tuna,False,false_positive,7.963,albacore white tuna,False,false_positive,16.167,albacore white tuna,False,false_positive,4.291,shrimp,False,false_positive,5.584,albacore white tuna,False,false_positive,6.629,albacore white tuna,False,false_positive,11.291
NHANES_Gemma3_27b,"beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted",none,False,gemma3-27b,1317,protein powder,False,false_positive,3.966,none,True,,7.016,chocolate,False,false_positive,2.792,protein powder,False,false_positive,9.542,none,True,,6.799,chocolate,False,false_positive,4.804,chocolate,False,false_positive,3.209,chocolate,False,false_positive,2.561,chocolate,False,false_positive,5.353,chocolate,False,false_positive,7.796,protein powder,False,false_positive,4.423,plantain banana (steamed 10 in),False,false_positive,6.694,chocolate,False,false_positive,15.654,chocolate,False,false_positive,7.944,protein powder,False,false_positive,5.851,chocolate,False,false_positive,17.579,chocolate,False,false_positive,12.153,protein powder,False,false_positive,7.453,chocolate,False,false_positive,14.035,chocolate,False,false_positive,1.589
NHANES_Gemma3_27b,"butter, salted",unsalted butter,True,gemma3-27b,1317,unsalted butter,True,,5.044,unsalted butter,True,,5.400,unsalted butter,True,,3.558,unsalted butter,True,,3.601,unsalted butter,True,,0.520,unsalted butter,True,,6.381,unsalted butter,True,,7.446,unsalted butter,True,,7.576,unsalted butter,True,,6.265,unsalted butter,True,,4.739,unsalted butter,True,,1.856,unsalted butter,True,,8.046,unsalted butter,True,,12.581,unsalted butter,True,,5.662,unsalted butter,True,,8.031,unsalted butter,True,,6.160,unsalted butter,True,,4.639,unsalted butter,True,,11.569,unsalted butter,True,,4.371,unsalted butter,True,,1.580
NHANES_Gemma3_27b,"beverages, energy drink, red bull",none,False,gemma3-27b,1317,none,True,,2.734,none,True,,4.321,none,True,,21.358,none,True,,17.275,coca cola,False,false_positive,5.494,none,True,,14.516,none,True,,9.653,none,True,,5.848,none,True,,6.262,none,True,,4.977,coca cola,False,false_positive,5.902,budweiser,False,false_positive,11.652,budweiser,False,false_positive,15.620,sprite,False,false_positive,10.885,budweiser,False,false_positive,11.002,coca cola,False,false_positive,13.121,budweiser,False,false_positive,3.750,sprite,False,false_positive,4.318,budweiser,False,false_positive,14.622,budweiser,False,false_positive,7.193
NHANES_Gemma3_27b,"oil, soybean, salad or cooking, (partially hydrogenated)",none,False,gemma3-27b,1317,soy flour,False,false_positive,2.163,none,True,,3.813,soy flour,False,false_positive,4.538,soy flour,False,false_positive,3.798,soy flour,False,false_positive,4.020,soy flour,False,false_positive,6.539,none,True,,1.568,soy flour,False,false_positive,6.032,none,True,,7.982,soy flour,False,false_positive,7.315,soy flour,False,false_positive,5.856,dried apricots,False,false_positive,11.833,brown rice (mahatma),False,false_positive,1.598,soy flour,False,false_positive,9.594,soy flour,False,false_positive,3.048,soy flour,False,false_positive,6.958,soy flour,False,false_positive,9.988,soy flour,False,false_positive,12.478,soy flour,False,false_positive,2.804,soy flour,False,false_positive,0.585
NHANES_Gemma3_27b,"beverages, powerade, zero, mixed berry",none,False,gemma3-27b,1317,gatorade,False,false_positive,3.916,none,True,,5.262,none,True,,5.222,gatorade,False,false_positive,3.897,none,True,,3.544,gatorade,False,false_positive,7.541,none,True,,3.473,none,True,,6.496,none,True,,2.732,none,True,,6.178,gatorade,False,false_positive,4.300,coca cola,False,false_positive,11.518,coca cola,False,false_positive,7.618,pulp free orange juice,False,false_positive,2.397,brewed coffee,False,false_positive,1.614,coca cola,False,false_positive,13.290,sprite,False,false_positive,9.234,sprite,False,false_positive,5.962,sprite,False,false_positive,12.209,sprite,False,false_positive,1.965
NHANES_Gemma3_27b,"yogurt, greek, vanilla, nonfat",none,False,gemma3-27b,1317,yogurt,False,false_positive,8.986,yogurt,False,false_positive,13.983,yogurt,False,false_positive,9.040,yogurt,False,false_positive,4.583,yogurt,False,false_positive,8.661,yogurt,False,false_positive,5.569,yogurt,False,false_positive,4.374,yogurt,False,false_positive,4.532,none,True,,6.395,yogurt,False,false_positive,1.223,yogurt,False,false_positive,5.440,yogurt,False,false_positive,0.903,yogurt,False,false_positive,9.096,yogurt,False,false_positive,8.892,yogurt,False,false_positive,8.627,yogurt,False,false_positive,6.026,yogurt,False,false_positive,9.851,yogurt,False,false_positive,14.944,yogurt,False,false_positive,1.639,yogurt,False,false_positive,3.230
NHANES_Gemma3_27b,"cheese, brick",sharp chedder cheese,True,gemma3-27b,1317,none,False,missed_match,12.111,none,False,missed_match,6.283,none,False,missed_match,4.142,cheese crackers,False,wrong_match,2.667,sharp chedder cheese,True,,5.239,none,False,missed_match,6.484,none,False,missed_match,2.285,none,False,missed_match,3.478,none,False,missed_match,5.081,none,False,missed_match,9.351,sharp chedder cheese,True,,5.567,none,False,missed_match,9.578,sharp chedder cheese,True,,11.027,cream cheese,False,wrong_match,5.317,sharp chedder cheese,True,,11.471,unsalted butter,False,wrong_match,6.356,brown rice rice cake,False,wrong_match,8.717,cream cheese,False,wrong_match,7.751,cream cheese,False,wrong_match,16.004,brown rice rice cake,False,wrong_match,2.240
NHANES_Gemma3_27b,"babyfood, fruit, apple and raspberry, strained",none,False,gemma3-27b,1317,apple juice,False,false_positive,1.140,none,True,,7.725,none,True,,5.727,none,True,,3.849,none,True,,3.416,freeze dried apple rings,False,false_positive,6.003,none,True,,4.613,none,True,,5.604,none,True,,5.073,none,True,,2.053,rice cereal (gerber),False,false_positive,5.054,whole raspberry,False,false_positive,13.211,freeze dried apple rings,False,false_positive,7.959,steamed green zuchini,False,false_positive,7.176,freeze dried apple rings,False,false_positive,11.443,yellow banana flesh only,False,false_positive,10.247,freeze dried apple rings,False,false_positive,7.927,yellow banana flesh only,False,false_positive,8.090,dried corn grits/polenta,False,false_positive,2.060,freeze dried apple rings,False,false_positive,3.693
NHANES_Gemma3_27b,"cereals, oats, regular and quick, not fortified, dry",rolled oats,True,gemma3-27b,1317,none,False,missed_match,21.601,rolled oats,True,,10.691,none,False,missed_match,14.917,none,False,missed_match,9.860,rolled oats,True,,5.099,none,False,missed_match,8.001,rolled oats,True,,2.734,rolled oats,True,,5.063,rolled oats,True,,8.359,rolled oats,True,,1.821,rolled oats,True,,9.124,rolled oats,True,,11.923,raisin bran cereal,False,wrong_match,13.379,none,False,missed_match,15.070,honey nut oat cereal,False,wrong_match,9.305,raisin bran cereal,False,wrong_match,1.164,raisin bran cereal,False,wrong_match,2.831,raisin bran cereal,False,wrong_match,2.734,raisin bran cereal,False,wrong_match,6.489,raisin bran cereal,False,wrong_match,3.152
NHANES_Gemma3_27b,"beverages, tea, black, brewed, prepared with tap water, decaffeinated",black tea,True,gemma3-27b,1317,none,False,missed_match,4.477,none,False,missed_match,6.961,brewed coffee,False,wrong_match,4.522,black tea,True,,3.504,black tea,True,,3.643,none,False,missed_match,5.586,brewed coffee,False,wrong_match,4.221,brewed coffee,False,wrong_match,10.619,black tea,True,,6.965,black tea,True,,5.389,black tea,True,,1.729,brewed coffee,False,wrong_match,3.848,black tea,True,,6.828,brewed coffee,False,wrong_match,10.364,black tea,True,,8.659,brewed coffee,False,wrong_match,9.286,brewed coffee,False,wrong_match,8.695,brewed coffee,False,wrong_match,6.425,brewed coffee,False,wrong_match,13.605,brewed coffee,False,wrong_match,21.053
NHANES_Gemma3_27b,"tomato products, canned, puree, without salt added",hunt's tomato paste,True,gemma3-27b,1317,none,False,missed_match,19.460,hunt's tomato paste,True,,13.201,none,False,missed_match,19.703,none,False,missed_match,23.921,hunt's tomato paste,True,,2.620,none,False,missed_match,9.616,none,False,missed_match,6.125,hunt's tomato paste,True,,5.713,none,False,missed_match,4.347,hunt's tomato paste,True,,1.255,hunt's tomato paste,True,,5.389,hunt's tomato paste,True,,4.196,hunt's tomato paste,True,,9.612,none,False,missed_match,12.792,hunt's tomato paste,True,,3.758,hunt's tomato paste,True,,7.049,hunt's tomato paste,True,,9.426,hunt's tomato paste,True,,16.041,hunt's tomato paste,True,,6.966,hunt's tomato paste,True,,2.429
NHANES_Gemma3_27b,"beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",beef round tip steak,True,gemma3-27b,1317,none,False,missed_match,13.252,beef round tip steak,True,,3.538,beef round tip steak,True,,5.323,beef round tip steak,True,,6.654,beef round tip steak,True,,6.234,beef round tip steak,True,,6.293,none,False,missed_match,0.732,beef round tip steak,True,,5.037,none,False,missed_match,6.266,none,False,missed_match,3.514,beef round tip steak,True,,5.248,beef round tip steak,True,,9.676,beef round tip steak,True,,7.744,beef round tip steak,True,,11.062,beef round tip steak,True,,6.566,beef round tip steak,True,,10.337,ground pork,False,wrong_match,11.928,ground pork,False,wrong_match,5.924,beef round tip steak,True,,14.762,ground pork,False,wrong_match,2.330
NHANES_Gemma3_27b,"schiff,tiger's milk bar",none,False,gemma3-27b,1317,none,True,,8.851,none,True,,2.119,none,True,,3.275,none,True,,4.863,none,True,,1.405,none,True,,4.738,none,True,,1.891,none,True,,9.892,none,True,,8.245,none,True,,7.743,none,True,,3.332,none,True,,2.846,none,True,,5.561,none,True,,9.819,none,True,,13.559,plantain banana (steamed 10 in),False,false_positive,6.015,none,True,,5.582,budweiser,False,false_positive,9.517,plantain banana (steamed 10 in),False,false_positive,1.567,budweiser,False,false_positive,6.616
