input_desc,predicted_desc,source_file,target_desc,correct
"candies, nestle, baby ruth bar","candies, nestle, baby ruth bar",food_matches_801_to_1000.txt,"candies, nestle, baby ruth bar",True
"cookies, oatmeal, commercially prepared, special dietary","cookies, oatmeal, commercially prepared, special dietary",food_matches_801_to_1000.txt,"cookies, oatmeal, commercially prepared, special dietary",True
"cake, pudding-type, chocolate, dry mix","cake, chocolate, dry mix, pudding-type",food_matches_801_to_1000.txt,"cake, chocolate, dry mix, pudding-type",True
"potato chips, without salt, reduced fat","potato chips, without salt, reduced fat",food_matches_801_to_1000.txt,"potato chips, without salt, reduced fat",True
"soup, black bean, canned, prepared with equal volume water","soup, black bean, canned, prepared with equal volume water",food_matches_801_to_1000.txt,"soup, black bean, canned, prepared with equal volume water",True
"crustaceans, shrimp, mixed species, canned","crustaceans, shrimp, mixed species, canned",food_matches_801_to_1000.txt,"crustaceans, shrimp, mixed species, canned",True
"crackers, standard snack-type, regular","crackers, standard snack-type, regular",food_matches_801_to_1000.txt,"crackers, standard snack-type, regular",True
"pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw","pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",food_matches_801_to_1000.txt,"pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",True
"beef, cured, corned beef, canned","beef, cured, corned beef, canned",food_matches_801_to_1000.txt,"beef, cured, corned beef, canned",True
"soup, pea, split with ham, canned, chunky, ready-to-serve","soup, pea, split with ham, canned, chunky, ready-to-serve",food_matches_801_to_1000.txt,"soup, pea, split with ham, canned, chunky, ready-to-serve",True
"beef, corned beef hash, with potato, canned","beef, corned beef hash, with potato, canned",food_matches_801_to_1000.txt,"beef, corned beef hash, with potato, canned",True
"beets, canned, no salt added, solids and liquids","beets, canned, no salt added, solids and liquids",food_matches_801_to_1000.txt,"beets, canned, no salt added, solids and liquids",True
"cranberries, raw","cranberries, raw",food_matches_801_to_1000.txt,"cranberries, raw",True
"grapefruit juice, white, raw","grapefruit juice, white, raw",food_matches_801_to_1000.txt,"grapefruit juice, white, raw",True
"snacks, granola bites, mixed flavors","snacks, granola bites, mixed flavors",food_matches_801_to_1000.txt,"snacks, granola bites, mixed flavors",True
"beef stew, canned entree","beef stew, canned entree",food_matches_801_to_1000.txt,"beef stew, canned entree",True
"fast foods, english muffin, with egg, cheese, and sausage","fast foods, english muffin, with egg, cheese, and sausage",food_matches_801_to_1000.txt,"fast foods, english muffin, with egg, cheese, and sausage",True
"pancakes, buckwheat, dry mix, incomplete","pancakes, buckwheat, dry mix, incomplete",food_matches_801_to_1000.txt,"pancakes, buckwheat, dry mix, incomplete",True
"fast foods, biscuit, with egg, cheese, and bacon","fast foods, biscuit, with egg, cheese, and bacon",food_matches_801_to_1000.txt,"fast foods, biscuit, with egg, cheese, and bacon",True
phyllo dough,phyllo dough,food_matches_801_to_1000.txt,phyllo dough,True
"fast food, pizza chain, 14"" pizza, sausage topping, thick crust","fast food, pizza chain, 14"" pizza, sausage topping, thick crust",food_matches_801_to_1000.txt,"fast food, pizza chain, 14"" pizza, sausage topping, thick crust",True
"soybeans, mature cooked, boiled, without salt","soybeans, mature cooked, boiled, without salt",food_matches_801_to_1000.txt,"soybeans, mature cooked, boiled, without salt",True
"mollusks, octopus, common, raw","mollusks, octopus, common, raw",food_matches_801_to_1000.txt,"mollusks, octopus, common, raw",True
"soup, egg drop, chinese restaurant","soup, egg drop, chinese restaurant",food_matches_801_to_1000.txt,"soup, egg drop, chinese restaurant",True
"grapefruit juice, white, frozen concentrate, unsweetened, undiluted","grapefruit juice, white, frozen concentrate, unsweetened, undiluted",food_matches_801_to_1000.txt,"grapefruit juice, white, frozen concentrate, unsweetened, undiluted",True
"gelatin desserts, dry mix, prepared with water","gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water",food_matches_801_to_1000.txt,"gelatin desserts, dry mix, prepared with water",False
"fish, cod, atlantic, cooked, dry heat","fish, cod, atlantic, cooked, dry heat",food_matches_801_to_1000.txt,"fish, cod, atlantic, cooked, dry heat",True
"cheese, pasteurized process, cheddar or american, low sodium","cheese, pasteurized process, cheddar or american, low sodium",food_matches_801_to_1000.txt,"cheese, pasteurized process, cheddar or american, low sodium",True
"cereals ready-to-eat, quaker, cap'n crunch's peanut butter crunch","cereals ready-to-eat, quaker, cap'n crunch's peanut butter crunch",food_matches_801_to_1000.txt,"cereals ready-to-eat, quaker, cap'n crunch's peanut butter crunch",True
"soup, chicken with rice, canned, condensed","soup, chicken with rice, canned, condensed",food_matches_801_to_1000.txt,"soup, chicken with rice, canned, condensed",True
"soybean, curd cheese","soybean, curd cheese",food_matches_801_to_1000.txt,"soybean, curd cheese",True
"tortellini, pasta with cheese filling, fresh-refrigerated, as purchased","tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",food_matches_801_to_1000.txt,"tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",True
"cheese, mexican, queso anejo","cheese, mexican, queso anejo",food_matches_801_to_1000.txt,"cheese, mexican, queso anejo",True
"pie, lemon meringue, commercially prepared","pie, lemon meringue, commercially prepared",food_matches_801_to_1000.txt,"pie, lemon meringue, commercially prepared",True
"carbonated beverage, cream soda","carbonated beverage, cream soda",food_matches_801_to_1000.txt,"carbonated beverage, cream soda",True
"margarine, regular, 80% fat, composite, stick, with salt, with added vitamin d","margarine, regular, 80% fat, composite, stick, with salt, with added vitamin d",food_matches_801_to_1000.txt,"margarine, regular, 80% fat, composite, stick, with salt, with added vitamin d",True
"garlic bread, frozen","garlic bread, frozen",food_matches_801_to_1000.txt,"garlic bread, frozen",True
"popcorn, microwave, regular (butter) flavor, made with palm oil","popcorn, microwave, regular (butter) flavor, made with palm oil",food_matches_801_to_1000.txt,"popcorn, microwave, regular (butter) flavor, made with palm oil",True
"beef, ground, 85% lean meat / 15% fat, raw (includes foods for usda's food distribution program)","rice, brown, long-grain, raw (includes foods for usda's food distribution program)",food_matches_801_to_1000.txt,"beef, ground, 85% lean meat / 15% fat, raw",False
"beef, ground, 80% lean meat / 20% fat, raw","beef, ground, 80% lean meat / 20% fat, raw",food_matches_801_to_1000.txt,"beef, ground, 80% lean meat / 20% fat, raw",True
"beef, ground, 75% lean meat / 25% fat, raw","beef, ground, 75% lean meat / 25% fat, raw",food_matches_801_to_1000.txt,"beef, ground, 75% lean meat / 25% fat, raw",True
"beef, ground, 90% lean meat / 10% fat, raw","beef, ground, 90% lean meat / 10% fat, raw",food_matches_801_to_1000.txt,"beef, ground, 90% lean meat / 10% fat, raw",True
"beef, ground, 95% lean meat / 5% fat, raw","beef, ground, 95% lean meat / 5% fat, raw",food_matches_801_to_1000.txt,"beef, ground, 95% lean meat / 5% fat, raw",True
"waterchestnuts, chinese, canned, solids and liquids","waterchestnuts, chinese, canned, solids and liquids",food_matches_801_to_1000.txt,"waterchestnuts, chinese, canned, solids and liquids",True
"peas, edible-podded, frozen, cooked, boiled, drained, without salt","peas, edible-podded, frozen, cooked, boiled, drained, without salt",food_matches_801_to_1000.txt,"peas, edible-podded, frozen, cooked, boiled, drained, without salt",True
"potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil","potatoes, hashed brown, frozen, plain, prepared",food_matches_801_to_1000.txt,"potatoes, hashed brown, frozen, plain, prepared",True
"alcoholic beverage, creme de menthe, 72 proof","alcoholic beverage, creme de menthe, 72 proof",food_matches_801_to_1000.txt,"alcoholic beverage, creme de menthe, 72 proof",True
"ice creams, chocolate, light","ice creams, chocolate, light, no sugar added",food_matches_801_to_1000.txt,"ice creams, chocolate, light",False
"ice creams, chocolate, light, no sugar added","ice creams, chocolate, light, no sugar added",food_matches_801_to_1000.txt,"ice creams, chocolate, light, no sugar added",True
"pineapple, canned, water pack, solids and liquids","pineapple, canned, water pack, solids and liquids",food_matches_801_to_1000.txt,"pineapple, canned, water pack, solids and liquids",True
"peaches, canned, water pack, solids and liquids","peaches, canned, water pack, solids and liquids",food_matches_801_to_1000.txt,"peaches, canned, water pack, solids and liquids",True
"oil, industrial, canola, high oleic","oil, industrial, canola, high oleic",food_matches_801_to_1000.txt,"oil, industrial, canola, high oleic",True
"oil, industrial, soy, fully hydrogenated","oil, industrial, soy, fully hydrogenated",food_matches_801_to_1000.txt,"oil, industrial, soy, fully hydrogenated",True
"oil, industrial, soy, low linolenic","oil, industrial, soy, low linolenic",food_matches_801_to_1000.txt,"oil, industrial, soy, low linolenic",True
"oil, industrial, soy, ultra low linolenic","oil, industrial, soy, ultra low linolenic",food_matches_801_to_1000.txt,"oil, industrial, soy, ultra low linolenic",True
"cheese, cheddar (includes foods for usda's food distribution program)","cheese, cheddar (includes foods for usda's food distribution program)",food_matches_801_to_1000.txt,"cheese, cheddar",False
"yogurt, plain, skim milk","yogurt, plain, skim milk, 13 grams protein per 8 ounce",food_matches_801_to_1000.txt,"yogurt, plain, skim milk, 13 grams protein per 8 ounce",True
"egg, white, raw, fresh","egg, white, raw, fresh",food_matches_801_to_1000.txt,"egg, white, raw, fresh",True
"cream, sour, cultured","cream, sour, cultured",food_matches_801_to_1000.txt,"cream, sour, cultured",True
"milk, buttermilk, dried","milk, buttermilk, dried",food_matches_801_to_1000.txt,"milk, buttermilk, dried",True
"cheese product, pasteurized process, american, vitamin d fortified","cheese product, pasteurized process, american, reduced fat, fortified with vitamin d",food_matches_801_to_1000.txt,"cheese product, pasteurized process, american, vitamin d fortified",False
"butter, salted","butter, salted",food_matches_801_to_1000.txt,"butter, salted",True
"yogurt, plain, low fat","yogurt, plain, low fat, 12 grams protein per 8 ounce",food_matches_801_to_1000.txt,"yogurt, plain, low fat, 12 grams protein per 8 ounce",True
"cheese, monterey","cheese, monterey",food_matches_801_to_1000.txt,"cheese, monterey",True
"ice cream, bar or stick, chocolate covered","ice cream, bar or stick, chocolate covered",food_matches_801_to_1000.txt,"ice cream, bar or stick, chocolate covered",True
"yogurt, plain, whole milk","yogurt, plain, whole milk, 8 grams protein per 8 ounce",food_matches_801_to_1000.txt,"yogurt, plain, whole milk, 8 grams protein per 8 ounce",True
"cream, fluid, heavy whipping","cream, fluid, heavy whipping",food_matches_801_to_1000.txt,"cream, fluid, heavy whipping",True
"cheese, parmesan, grated","cheese, parmesan, grated",food_matches_801_to_1000.txt,"cheese, parmesan, grated",True
"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d","milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",food_matches_801_to_1000.txt,"milk, reduced fat, fluid, 2% milkfat, with added vitamin a and vitamin d",True
"cream, fluid, half and half","cream, fluid, half and half",food_matches_801_to_1000.txt,"cream, fluid, half and half",True
"sour cream, light","sour cream, light",food_matches_801_to_1000.txt,"sour cream, light",True
